"D-glucose uptake rate [cmol/h], fed-batch [h]",DDB_PD_001_AMBR_R23,DDB_PD_001_AMBR_R24,DDB_PD_002_AMBR_R1,DDB_PD_002_AMBR_R2,DDB_PD_002_AMBR_R3,DDB_PD_002_AMBR_R4,DDB_PD_002_AMBR_R5,DDB_PD_002_AMBR_R6,DDB_PD_002_AMBR_R7,DDB_PD_002_AMBR_R8,DDB_PD_003_AMBR_R10,DDB_PD_003_AMBR_R15,DDB_PD_003_AMBR_R16,DDB_PD_003_AMBR_R21,DDB_PD_003_AMBR_R22,DDB_PD_003_AMBR_R9,DDB_PD_004_AMBR_R1,DDB_PD_004_AMBR_R2,DDB_PD_004_AMBR_R3,DDB_PD_004_AMBR_R4,DDB_PD_004_AMBR_R5,DDB_PD_004_AMBR_R6,DDB_PD_004_AMBR_R7,DDB_PD_004_AMBR_R8,DDB_PD_005_AMBR_R1,DDB_PD_005_AMBR_R2,DDB_PD_005_AMBR_R3,DDB_PD_005_AMBR_R4,DDB_PD_005_AMBR_R5,DDB_PD_005_AMBR_R6,DDB_PD_005_AMBR_R7,DDB_PD_005_AMBR_R8,DDB_PD_006_AMBR_R1,DDB_PD_006_AMBR_R2,DDB_PD_006_AMBR_R4,DDB_PD_006_AMBR_R5,DDB_PD_006_AMBR_R6,DDB_PD_006_AMBR_R7,DDB_PD_006_AMBR_R8,DDB_PD_006_AMBR_R9,DDB_PD_009_AMBR_R1,DDB_PD_009_AMBR_R10,DDB_PD_009_AMBR_R11,DDB_PD_009_AMBR_R2,DDB_PD_009_AMBR_R4,DDB_PD_009_AMBR_R5,DDB_PD_009_AMBR_R6,DDB_PD_009_AMBR_R7,DDB_PD_009_AMBR_R8,DDB_PD_009_AMBR_R9,DDB_PD_019_1L_R28,DDB_PD_022_30L_R40,DDB_PD_023_AMBR_R1,DDB_PD_023_AMBR_R2,DDB_PD_023_AMBR_R3,DDB_PD_023_AMBR_R4,DDB_PD_036_AMBR_R13,DDB_PD_036_AMBR_R14,DDB_PD_036_AMBR_R15,DDB_PD_036_AMBR_R16,DDB_PD_036_AMBR_R17,DDB_PD_036_AMBR_R18,DDB_PD_036_AMBR_R19,DDB_PD_036_AMBR_R20,DDB_PD_036_AMBR_R21,DDB_PD_036_AMBR_R22,DDB_PD_036_AMBR_R23,DDB_PD_036_AMBR_R24,DDB_PD_038_AMBR_R10,DDB_PD_038_AMBR_R11,DDB_PD_038_AMBR_R12,DDB_PD_038_AMBR_R5,DDB_PD_038_AMBR_R6,DDB_PD_038_AMBR_R7,DDB_PD_038_AMBR_R8,DDB_PD_038_AMBR_R9,DDB_PD_045_AMBR_R1,DDB_PD_045_AMBR_R11,DDB_PD_045_AMBR_R12,DDB_PD_045_AMBR_R13,DDB_PD_045_AMBR_R14,DDB_PD_045_AMBR_R15,DDB_PD_045_AMBR_R16,DDB_PD_045_AMBR_R17,DDB_PD_045_AMBR_R18,DDB_PD_045_AMBR_R19,DDB_PD_045_AMBR_R2,DDB_PD_045_AMBR_R20,DDB_PD_045_AMBR_R23,DDB_PD_045_AMBR_R24,DDB_PD_045_AMBR_R5,DDB_PD_045_AMBR_R6,DDB_PD_045_AMBR_R7,DDB_PD_045_AMBR_R8,DDB_PD_056_AMBR_R10,DDB_PD_056_AMBR_R11,DDB_PD_056_AMBR_R12,DDB_PD_056_AMBR_R9,DDB_PD_063_AMBR_R1,DDB_PD_063_AMBR_R3,DDB_PD_063_AMBR_R4,DDB_PD_065_AMBR_R13,DDB_PD_065_AMBR_R14,DDB_PD_065_AMBR_R15,DDB_PD_065_AMBR_R16,DDB_PD_065_AMBR_R17,DDB_PD_065_AMBR_R18,DDB_PD_065_AMBR_R19,DDB_PD_065_AMBR_R20,DDB_PD_065_AMBR_R21,DDB_PD_065_AMBR_R22,DDB_PD_065_AMBR_R23,DDB_PD_072_AMBR_R7,DDB_PD_072_AMBR_R8,DDB_PD_074_AMBR_R12,DDB_PD_087_AMBR_R1,DDB_PD_087_AMBR_R2,DDB_PD_087_AMBR_R3,DDB_PD_087_AMBR_R4,DDB_PD_087_AMBR_R5,DDB_PD_087_AMBR_R6,DDB_PD_087_AMBR_R7,DDB_PD_087_AMBR_R8,DDB_PD_099_AMBR_R11,DDB_PD_099_AMBR_R12,DDB_PD_099_AMBR_R13,DDB_PD_099_AMBR_R14,DDB_PD_099_AMBR_R7,DDB_PD_099_AMBR_R8,DDB_PD_099_AMBR_R9,DDB_PD_104_AMBR_R10,DDB_PD_104_AMBR_R11,DDB_PD_104_AMBR_R12,DDB_PD_104_AMBR_R7,DDB_PD_104_AMBR_R8,DDB_PD_104_AMBR_R9,DDB_PD_107_AMBR_R1,DDB_PD_107_AMBR_R10,DDB_PD_107_AMBR_R11,DDB_PD_107_AMBR_R12,DDB_PD_107_AMBR_R13,DDB_PD_107_AMBR_R2,DDB_PD_107_AMBR_R3,DDB_PD_107_AMBR_R5,DDB_PD_107_AMBR_R6,DDB_PD_107_AMBR_R7,DDB_PD_107_AMBR_R8,DDB_PD_107_AMBR_R9,DDB_PD_110_AMBR_R10,DDB_PD_110_AMBR_R5,DDB_PD_110_AMBR_R6,DDB_PD_110_AMBR_R7,DDB_PD_110_AMBR_R8,DDB_PD_110_AMBR_R9,DDB_PD_111_AMBR_R10,DDB_PD_111_AMBR_R11,DDB_PD_111_AMBR_R12,DDB_PD_111_AMBR_R7,DDB_PD_111_AMBR_R8,DDB_PD_111_AMBR_R9
-19.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.880000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.689999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.509999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.380000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1e-05,,,,,,,,,,,,,,,,,,,,,,,,
-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1e-05,,,,,,,,,,,,,,,,,,,,,,,,,
-17.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.009999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.830000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.580000000000002,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.54,,,,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.41,,,,,,,,,,,,,,,,,-6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.39,,,,,,,,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.23,,,-1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.2,,,,,,,,,,,,,,,,,,,,,,,,-4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.96,,,,,,,,,,,,,,,,,,,,,-8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.819999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.809999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.7,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.52,,,,,,,,,,,,,,,,,,,,,,-8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.46,,,,,,,,,,,,,,,,,,,,-7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
